requirement_id,scenario,implementation_module,test,evidence_path,status
FUS-CAL-003,n/a (architecture),include/application/online_assist_pipeline.hpp (calibration-version-change reset+recovering),tests/application/online_assist_pipeline_test.cpp,tests/application/online_assist_pipeline_test.cpp,verified
FUS-CAM-001,n/a (architecture),"schemas/proto/uw/domain/image.proto, calibration.proto",tests/contracts/*,schemas/proto/uw/domain/image.proto,implemented
FUS-CAM-002,n/a (architecture),50ms/2ms sync gates -- FUS-SYNC-002 owns the runtime check,tests/runtime/acoustic_optic_buffer_test.cpp,include/runtime/acoustic_optic_buffer.hpp,verified
FUS-CAM-003,n/a (architecture),adapters/opencv (camera_rectifier is a distinct opt-in stage from raw ImageFrame),tests/adapters/opencv_stereo_rectifier_test.cpp,tests/adapters/opencv_stereo_rectifier_test.cpp,implemented
FUS-DENSE-001,n/a (architecture),include/application/online_assist_pipeline.hpp (dense.enabled + all gates),tests/application/online_assist_pipeline_test.cpp,tests/application/online_assist_pipeline_test.cpp,verified
FUS-DENSE-002,n/a (architecture),"include/application/online_assist_pipeline.hpp (dense refines region, does not replace visual/sonar identity)",tests/application/online_assist_pipeline_test.cpp,tests/application/online_assist_pipeline_test.cpp,implemented
FUS-DENSE-003,n/a (architecture),include/application/online_assist_pipeline.hpp (DenseCurrentlyFresh -- deadline-missed never blocks track/state/health),tests/application/online_assist_pipeline_test.cpp,tests/application/online_assist_pipeline_test.cpp,verified
FUS-DENSE-004,n/a (architecture),dense stays default-disabled repo-wide (configs/defaults/platform.yaml online_assist.dense.enabled=false),n/a (no measured improvement study exists yet),configs/defaults/platform.yaml,gated
FUS-HEALTH-001,n/a (architecture),include/application/online_assist_pipeline.hpp (3-period timeout -> degraded),tests/application/online_assist_pipeline_test.cpp,tests/application/online_assist_pipeline_test.cpp,verified
FUS-HEALTH-002,n/a (architecture),"include/application/online_assist_pipeline.hpp (recovering clears sync cache, re-associates)",tests/application/online_assist_pipeline_test.cpp,tests/application/online_assist_pipeline_test.cpp,verified
FUS-HEALTH-003,n/a (architecture),schemas/proto/uw/domain/health.proto (HealthReport fields),tests/application/online_assist_pipeline_test.cpp,schemas/proto/uw/domain/health.proto,verified
FUS-IN-001,n/a (architecture),schemas/proto/uw/domain/observation.proto (ObservationHeader),tests/runtime/canonical_event_validation_test.cpp,schemas/proto/uw/domain/observation.proto,verified
FUS-IN-002,n/a (architecture),schemas/proto/uw/domain/ids.proto (ObservationId is identity-only),tests/frontends/target_associator_test.cpp (provenance-uniqueness rejection),tests/frontends/target_associator_test.cpp,verified
FUS-IN-003,n/a (architecture),schemas/proto/uw/domain/time.proto (capture_time vs receive_time),tests/runtime/canonical_event_validation_test.cpp,schemas/proto/uw/domain/time.proto,verified
FUS-OUT-001,n/a (architecture),schemas/proto/uw/domain/target.proto (OperatorAssistState),tests/application/online_assist_pipeline_test.cpp,schemas/proto/uw/domain/target.proto,verified
FUS-OUT-002,n/a (architecture),"include/application/latest_assist_sink.hpp (replace-latest, mutex-guarded) + src/application/holoocean_realtime_sink.cpp (RealtimeAssistOutputSink: single mutex-guarded slot) + adapters/ros2/src/holoocean_realtime_node.cpp (rclcpp::QoS(1) publishers -- untested directly, no ROS2-level test exists)",tests/application/latest_assist_sink_test.cpp,tests/application/latest_assist_sink_test.cpp,implemented
FUS-OUT-003,n/a (architecture),"schemas/proto/uw/domain/target.proto (TargetTrackStatus/HealthReport.Status enums, not raw confidence)",tests/frontends/target_tracker_test.cpp,schemas/proto/uw/domain/target.proto,verified
FUS-OUT-004,n/a (architecture),adapters/ros2/src/holoocean_realtime_node.cpp (PilotCamera subscription independent of overlay compositor),n/a (native host needed to prove decoupled failure behavior),adapters/ros2/README.md,gated
FUS-Q-001,n/a (architecture),include/runtime/live_event_source.hpp (LaneQueueConfig capacity/overflow_policy),tests/runtime/live_event_source_test.cpp,tests/runtime/live_event_source_test.cpp,verified
FUS-Q-002,n/a (architecture),include/runtime/live_event_source.hpp (kDropOldest lanes for correction/mapping),tests/runtime/live_event_source_test.cpp,tests/runtime/live_event_source_test.cpp,verified
FUS-Q-003,n/a (architecture),"include/runtime/live_event_source.hpp (localization lane kReject, never silently dropped)",tests/runtime/live_event_source_test.cpp,tests/runtime/live_event_source_test.cpp,verified
FUS-Q-004,n/a (architecture),include/runtime/rolling_latency.hpp + LiveSourceStats age accounting,tests/runtime/live_event_source_test.cpp,tests/runtime/live_event_source_test.cpp,implemented
FUS-Q-005,n/a (architecture),include/runtime/live_event_source.hpp (weighted lane scheduler: localization/correction/mapping/evidence),tests/runtime/live_event_source_test.cpp,tests/runtime/live_event_source_test.cpp,verified
FUS-RT-001,rov_realtime_minimum+nominal+disturbed+overload,adapters/holoocean/uw_holoocean_adapter/run_report.py (minimum/nominal/overload gate specs),adapters/holoocean/tests/test_run_report.py,adapters/holoocean/uw_holoocean_adapter/run_report.py,implemented
FUS-RT-002,rov_realtime_minimum+nominal+disturbed+overload,adapters/holoocean/uw_holoocean_adapter/run_report.py,adapters/holoocean/tests/test_run_report.py,adapters/holoocean/uw_holoocean_adapter/run_report.py,verified
FUS-RT-003,rov_realtime_minimum+nominal+disturbed+overload,adapters/holoocean/uw_holoocean_adapter/run_report.py,adapters/holoocean/tests/test_run_report.py,adapters/holoocean/uw_holoocean_adapter/run_report.py,verified
FUS-RT-004,rov_realtime_minimum+nominal+disturbed+overload,adapters/holoocean/uw_holoocean_adapter/run_report.py,adapters/holoocean/tests/test_run_report.py,adapters/holoocean/uw_holoocean_adapter/run_report.py,verified
FUS-SON-001,n/a (architecture),schemas/proto/uw/domain/sonar.proto (SonarFrame geometry fields),tests/runtime/canonical_event_validation_test.cpp,schemas/proto/uw/domain/sonar.proto,verified
FUS-SON-002,n/a (architecture),include/runtime/canonical_event_validation.hpp (finite/monotonic geometry checks),tests/runtime/canonical_event_validation_test.cpp,tests/runtime/canonical_event_validation_test.cpp,verified
FUS-STATE-001,n/a (architecture),schemas/proto/uw/domain/state.proto (VehicleState: attitude/angular velocity/depth + valid flags),tests/contracts/*,schemas/proto/uw/domain/state.proto,implemented
FUS-STATE-002,n/a (architecture),"include/adapters/holoocean_live_conversion.hpp (ConvertHoloVehicleState: attitude_valid/depth_valid only, device_health_valid left false rather than fabricated)",tests/adapters/holoocean_live_conversion_test.cpp,src/adapters/holoocean_live_conversion.cpp,verified
FUS-SYNC-001,n/a (architecture),include/runtime/acoustic_optic_buffer.hpp (nearest corrected capture-time match),tests/runtime/acoustic_optic_buffer_test.cpp,tests/runtime/acoustic_optic_buffer_test.cpp,verified
FUS-SYNC-002,n/a (architecture),include/runtime/acoustic_optic_buffer.hpp (sync window rejection),tests/runtime/acoustic_optic_buffer_test.cpp,tests/runtime/acoustic_optic_buffer_test.cpp,verified
FUS-SYNC-003,n/a (architecture),include/frontends/target_associator.hpp (state interpolation to sensor capture time),tests/frontends/target_associator_test.cpp,tests/frontends/target_associator_test.cpp,verified
FUS-SYNC-004,n/a (architecture),include/runtime/acoustic_optic_buffer.hpp (candidate/accepted/no-match/out-of-window/invalid-timestamp counters),tests/runtime/acoustic_optic_buffer_test.cpp,tests/runtime/acoustic_optic_buffer_test.cpp,verified
FUS-TRACK-001,n/a (architecture),schemas/proto/uw/domain/target.proto (TargetTrack fields),tests/frontends/target_tracker_test.cpp,schemas/proto/uw/domain/target.proto,verified
FUS-TRACK-002,n/a (architecture),include/frontends/target_tracker.hpp (sources-aware confirm/degrade),tests/frontends/target_tracker_test.cpp,tests/frontends/target_tracker_test.cpp,verified
FUS-TRACK-003,n/a (architecture),"include/frontends/target_tracker.hpp (500ms -> STALE, exits normal guidance)",tests/frontends/target_tracker_test.cpp,tests/frontends/target_tracker_test.cpp,verified
FUS-VIS-001,n/a (architecture),adapters/opencv/include/adapters/opencv_visual_assist_frontend.hpp,tests/adapters/opencv_visual_assist_frontend_test.cpp,tests/adapters/opencv_visual_assist_frontend_test.cpp,verified
FUS-VIS-002,n/a (architecture),include/application/online_assist_pipeline.hpp (dense-depth gating: texture/uniqueness/lr-consistency/disparity/occlusion/calibration),tests/application/online_assist_pipeline_test.cpp,tests/application/online_assist_pipeline_test.cpp,verified
FUS-VIS-003,n/a (architecture),adapters/opencv/include/adapters/opencv_visual_assist_frontend.hpp (degradation reason codes),tests/adapters/opencv_visual_assist_frontend_test.cpp,tests/adapters/opencv_visual_assist_frontend_test.cpp,implemented
SIM-ACC-001,aquaculture_search+structure_inspection,"adapters/holoocean/uw_holoocean_adapter/realtime_gate.py (drives real HoloOcean session -> algorithm -> HMI, never offline-only)",n/a (native host),adapters/holoocean/uw_holoocean_adapter/realtime_gate.py,gated
SIM-ACC-002,aquaculture_search+structure_inspection,apps/online_assist_smoke.cpp (synthetic proof of the same wiring shape),tests/integration/online_assist_smoke_test.sh,tests/integration/online_assist_smoke_test.sh,implemented
SIM-ACC-003,aquaculture_search+structure_inspection,adapters/holoocean/uw_holoocean_adapter/realtime_gate.py,"n/a (native host, 10-seed campaigns)",adapters/holoocean/uw_holoocean_adapter/realtime_gate.py,gated
SIM-ACC-004,rov_realtime_nominal+rov_realtime_overload,adapters/holoocean/uw_holoocean_adapter/realtime_gate.py --soak-duration-s,"n/a (native host, 2h/30min)",adapters/holoocean/uw_holoocean_adapter/realtime_gate.py,gated
SIM-ACC-005,rov_realtime_nominal,"adapters/holoocean/uw_holoocean_adapter/run_report.py (rss_growth_after_warmup_mib, cpu/gpu headroom)",adapters/holoocean/tests/test_run_report.py,adapters/holoocean/uw_holoocean_adapter/run_report.py,implemented
SIM-ACC-006,rov_realtime_minimum+nominal+disturbed+overload,adapters/holoocean/uw_holoocean_adapter/run_report.py (result_age_p95_ms gate),adapters/holoocean/tests/test_run_report.py,adapters/holoocean/uw_holoocean_adapter/run_report.py,verified
SIM-ARCH-001,n/a (architecture),include/adapters/holoocean_live_conversion.hpp (same CanonicalEvent contract as real hardware),tests/adapters/holoocean_live_conversion_test.cpp,tests/adapters/holoocean_live_conversion_test.cpp,verified
SIM-ARCH-002,n/a (architecture),adapters/holoocean/uw_holoocean_adapter/task_scorer.py (only scorer sees truth),adapters/holoocean/tests/test_task_scorer.py,adapters/holoocean/uw_holoocean_adapter/task_scorer.py,verified
SIM-ARCH-003,n/a (architecture),adapters/holoocean/uw_holoocean_adapter/async_diagnostic_recorder.py,adapters/holoocean/tests/test_async_diagnostic_recorder.py,adapters/holoocean/uw_holoocean_adapter/async_diagnostic_recorder.py,verified
SIM-CAM-001,rov_realtime_minimum + contract mono/stereo,"adapters/holoocean/scenarios/blue_rov_contract_{base,mono,stereo}.json + scenario_manifest.py (uw_extends/uw_profiles, at-least-one-camera + stereo-pair rule) + realtime_ros_session.py (MainCamera publish)","adapters/holoocean/tests/test_contract_scenarios.py, test_scenario_manifest.py",adapters/holoocean/scenarios/blue_rov_contract_base.json,implemented
SIM-CAM-002,rov_realtime_minimum,adapters/holoocean/uw_holoocean_adapter/fault_injector.py (camera-sonar desync via per-topic clock_offset_s),adapters/holoocean/tests/test_fault_injector.py,adapters/holoocean/uw_holoocean_adapter/fault_injector.py,implemented
SIM-CAM-003,rov_realtime_disturbed,adapters/holoocean/uw_holoocean_adapter/sensor_perturbation.py,adapters/holoocean/tests/test_sensor_perturbation.py,adapters/holoocean/uw_holoocean_adapter/sensor_perturbation.py,verified
SIM-CFG-001,aquaculture_search+structure_inspection,adapters/holoocean/uw_holoocean_adapter/scenario_manifest.py,adapters/holoocean/tests/test_scenario_manifest.py,adapters/holoocean/uw_holoocean_adapter/scenario_manifest.py,verified
SIM-CFG-002,aquaculture_search+structure_inspection,adapters/holoocean/uw_holoocean_adapter/scenario_manifest.py (load_realtime_manifest never accepts a bare name),adapters/holoocean/tests/test_scenario_manifest.py,adapters/holoocean/uw_holoocean_adapter/scenario_manifest.py,verified
SIM-CFG-003,rov_realtime_minimum+nominal+disturbed+overload,adapters/holoocean/uw_holoocean_adapter/run_report.py (code/scenario/task/config/calibration hashes),adapters/holoocean/tests/test_run_report.py,adapters/holoocean/uw_holoocean_adapter/run_report.py,implemented
SIM-FAULT-001,rov_realtime_disturbed,adapters/holoocean/uw_holoocean_adapter/fault_injector.py (ScheduledFault: release_time_s/duration_s/kind),adapters/holoocean/tests/test_fault_injector.py,adapters/holoocean/uw_holoocean_adapter/fault_injector.py,implemented
SIM-FAULT-002,rov_realtime_disturbed,adapters/holoocean/uw_holoocean_adapter/run_report.py (fault timeline + health timeline correlation),n/a (native host needed for a real correlated run),adapters/holoocean/uw_holoocean_adapter/run_report.py,gated
SIM-ROV-001,aquaculture_search+structure_inspection,"adapters/holoocean/scenarios/blue_rov_aid_sv1213_base.json (8-thruster, actuator bounds)",adapters/holoocean/tests/test_scenario_manifest.py,adapters/holoocean/scenarios/blue_rov_aid_sv1213_base.json,verified
SIM-ROV-002,aquaculture_search+structure_inspection,"adapters/holoocean/uw_holoocean_adapter/pilot_command_model.py; adapters/holoocean/uw_holoocean_adapter/thrust_allocation.py (setpoint-level PilotCommand -> 8 thrusters, PREP-C-02)","adapters/holoocean/tests/test_pilot_command_model.py; adapters/holoocean/tests/test_thrust_allocation.py",adapters/holoocean/uw_holoocean_adapter/pilot_command_model.py,verified
SIM-ROV-003,rov_realtime_disturbed,adapters/holoocean/uw_holoocean_adapter/fault_injector.py (current baseline) + sensor_perturbation.py,"adapters/holoocean/tests/test_fault_injector.py, test_sensor_perturbation.py",adapters/holoocean/uw_holoocean_adapter/fault_injector.py,implemented
SIM-S2R-001,n/a (pool),randomization ranges must come from measured pool-test distributions,no automated evidence possible from simulation execution alone,n/a,gated
SIM-SCENE-001,aquaculture_search,adapters/holoocean/scenarios/aquaculture_search.yaml,adapters/holoocean/tests/test_scenario_manifest.py,adapters/holoocean/scenarios/aquaculture_search.yaml,verified
SIM-SCENE-002,aquaculture_search,adapters/holoocean/uw_holoocean_adapter/task_scorer.py (_kind == 'point' success path),adapters/holoocean/tests/test_task_scorer.py,adapters/holoocean/uw_holoocean_adapter/task_scorer.py,implemented
SIM-SCENE-003,structure_inspection,adapters/holoocean/scenarios/structure_inspection.yaml,adapters/holoocean/tests/test_scenario_manifest.py,adapters/holoocean/scenarios/structure_inspection.yaml,verified
SIM-SCENE-004,structure_inspection,adapters/holoocean/uw_holoocean_adapter/task_scorer.py (_kind == 'path' success path),adapters/holoocean/tests/test_task_scorer.py,adapters/holoocean/uw_holoocean_adapter/task_scorer.py,implemented
SIM-SCENE-005,aquaculture_search+structure_inspection,adapters/holoocean/scenarios/*.yaml (nominal) + configs/experiment/rov_realtime_disturbed.yaml (disturbed),adapters/holoocean/tests/test_scenario_manifest.py,configs/experiment/rov_realtime_disturbed.yaml,implemented
SIM-SON-001,aquaculture_search+structure_inspection,"include/adapters/holoocean_live_conversion.hpp (HoloOceanSonarCalibration, manifest-driven not hardcoded)",tests/adapters/holoocean_live_conversion_test.cpp,tests/adapters/holoocean_live_conversion_test.cpp,verified
SIM-SON-002,rov_realtime_nominal + contract profiles,"adapters/holoocean/scenarios/blue_rov_aid_sv1213_base.json (ImagingSonar Hz=10 nominal tier) + blue_rov_contract_base.json uw_profiles (fidelity 40 Hz / realtime 5 Hz) + scenario_manifest.py (Hz must evenly divide ticks_per_sec)","adapters/holoocean/tests/test_scenario_manifest.py, test_contract_scenarios.py",adapters/holoocean/tests/test_scenario_manifest.py,implemented
SIM-SON-004,contract sonar modes,"adapters/holoocean/scenarios/blue_rov_contract_base.json uw_sonar_modes (750 kHz / 1.2 MHz) + scenario_manifest.py resolve_scenario_overlays (beam-width limitation documented)",adapters/holoocean/tests/test_contract_scenarios.py,adapters/holoocean/scenarios/blue_rov_contract_base.json,implemented
SIM-SON-003,rov_realtime_disturbed,adapters/holoocean/uw_holoocean_adapter/sensor_perturbation.py (perturb_sonar),adapters/holoocean/tests/test_sensor_perturbation.py,adapters/holoocean/uw_holoocean_adapter/sensor_perturbation.py,verified
SIM-IMU-001,contract mono/stereo,"adapters/holoocean/uw_holoocean_adapter/realtime_ros_session.py (/holoocean/auv0/IMU sensor_msgs/Imu) + ros_message_conversion.holoocean_imu_to_ros_imu + record_session.py (/raw/imu)","adapters/holoocean/tests/test_contract_scenarios.py, test_record_session_monocular.py",adapters/holoocean/uw_holoocean_adapter/ros_message_conversion.py,implemented
SIM-STATE-001,rov_realtime_minimum+nominal+disturbed+overload,"adapters/holoocean/uw_holoocean_adapter/realtime_ros_session.py (VehicleOrientation/DepthSensor at manifest Hz, angular rate from the latest IMUSensor sample)",adapters/holoocean/tests/test_realtime_ros_session.py,adapters/holoocean/uw_holoocean_adapter/realtime_ros_session.py,implemented
SIM-STATE-002,aquaculture_search+structure_inspection,"adapters/holoocean/uw_holoocean_adapter/ros_message_conversion.py (vehicle_state_to_odometry: noisy, never PoseSensor; HeadingNoise sigma + thrust-proportional bias, PREP-A-03)","adapters/holoocean/tests/test_ros_message_conversion.py, test_contract_scenarios.py",adapters/holoocean/uw_holoocean_adapter/ros_message_conversion.py,verified
SIM-TIME-001,n/a (architecture),include/adapters/holoocean_live_conversion.hpp (ObservationHeader population),tests/adapters/holoocean_live_conversion_test.cpp,tests/adapters/holoocean_live_conversion_test.cpp,verified
SIM-TIME-002,rov_realtime_minimum+nominal+disturbed+overload,"adapters/holoocean/uw_holoocean_adapter/realtime_ros_session.py (independent per-sensor rates, no cross-sensor tick alignment requirement)",adapters/holoocean/tests/test_realtime_ros_session.py,adapters/holoocean/uw_holoocean_adapter/realtime_ros_session.py,implemented
SIM-TIME-003,aquaculture_search+structure_inspection,adapters/holoocean/uw_holoocean_adapter/holoocean_driver.py (owned RNG + global random seed/restore) + fault_injector.build_fault_schedule,"adapters/holoocean/tests/test_holoocean_driver.py, test_fault_injector.py",adapters/holoocean/uw_holoocean_adapter/holoocean_driver.py,verified
SIM-TIME-004,aquaculture_search+structure_inspection,adapters/holoocean/uw_holoocean_adapter/scenario_randomization.py + fault_injector.py,"adapters/holoocean/tests/test_scenario_randomization.py::test_same_seed_samples_same_layout_noise_and_faults, test_fault_injector.py",adapters/holoocean/uw_holoocean_adapter/scenario_randomization.py,verified
SIM-PERF-001,n/a (measurement),adapters/holoocean/tools/tick_budget.py (measured 2026-09-02) + scenario_manifest.py Hz-divides-ticks validation,adapters/holoocean/tests/test_scenario_manifest.py,adapters/holoocean/docs/perf/tick_budget_2026-09-02.md,verified
SIM-PERF-002,realtime profile,"adapters/holoocean/scenarios/blue_rov_contract_base.json uw_profiles.realtime (ticks 25, frames_per_sec true, 960x540@12.5 Hz, sonar 5 Hz 768x256, IMU 25 Hz) + realtime_ros_session.py --profile (manifest.profile recorded)","adapters/holoocean/tests/test_contract_scenarios.py (RTF>=1 itself needs the native host)",adapters/holoocean/docs/perf/tick_budget_2026-09-02.md,implemented
SIM-PERF-003,fidelity profile,"adapters/holoocean/scenarios/blue_rov_contract_base.json uw_profiles.fidelity (ticks 200, frames_per_sec false, 1080p@25 Hz, sonar 40 Hz 768x512, IMU 200 Hz); external clock mode still PREP-A-13",adapters/holoocean/tests/test_contract_scenarios.py,adapters/holoocean/docs/perf/tick_budget_2026-09-02.md,implemented
SIM-TIME-005,rov_realtime_minimum+nominal+disturbed+overload,adapters/holoocean/uw_holoocean_adapter/run_report.py (rtf_p50/rtf_p95 fields + gate),n/a (native host needed for a real RTF sample),adapters/holoocean/uw_holoocean_adapter/run_report.py,gated
SYS-ACC-001,aquaculture_search+structure_inspection,adapters/holoocean/uw_holoocean_adapter/task_scorer.py (precision/recall),"n/a (native host, real frozen acceptance scenes needed for a real 90% number)",adapters/holoocean/uw_holoocean_adapter/task_scorer.py,gated
SYS-ACC-002,aquaculture_search+structure_inspection,adapters/holoocean/uw_holoocean_adapter/task_scorer.py (bearing_error_p95_rad/range_error_p95_m),adapters/holoocean/tests/test_task_scorer.py,adapters/holoocean/uw_holoocean_adapter/task_scorer.py,implemented
SYS-ACC-003,structure_inspection,adapters/holoocean/uw_holoocean_adapter/task_scorer.py (lateral_offset_p95_m),adapters/holoocean/tests/test_task_scorer.py,adapters/holoocean/uw_holoocean_adapter/task_scorer.py,implemented
SYS-ACC-004,aquaculture_search+structure_inspection,adapters/holoocean/uw_holoocean_adapter/realtime_gate.py,"n/a (native host, 10-seed campaign)",adapters/holoocean/uw_holoocean_adapter/realtime_gate.py,gated
SYS-ACC-005,rov_realtime_disturbed,adapters/holoocean/uw_holoocean_adapter/realtime_gate.py,"n/a (native host, 10-seed disturbed campaign)",adapters/holoocean/uw_holoocean_adapter/realtime_gate.py,gated
SYS-ARCH-001,n/a (architecture),"adapters/holoocean/uw_holoocean_adapter/scripted_pilot.py (explicitly a sim-test driver, not production autonomy)",adapters/holoocean/tests/test_scripted_pilot.py,adapters/holoocean/uw_holoocean_adapter/scripted_pilot.py,implemented
SYS-ARCH-002,n/a (architecture),tools/lint/check_layer_dependencies.py (ros2 role ALLOWED set),tests/lint/check_layer_dependencies_test.py,tools/lint/check_layer_dependencies.py,verified
SYS-ARCH-003,n/a (architecture),adapters/holoocean/uw_holoocean_adapter/task_scorer.py (TaskScorer is the only truth consumer),adapters/holoocean/tests/test_task_scorer.py::test_scorer_consumes_truth_but_algorithm_topic_list_does_not,adapters/holoocean/uw_holoocean_adapter/task_scorer.py,verified
SYS-ARCH-004,n/a (architecture),adapters/holoocean/uw_holoocean_adapter/async_diagnostic_recorder.py,adapters/holoocean/tests/test_async_diagnostic_recorder.py::test_blocked_or_failed_recorder_never_blocks_live_submit,adapters/holoocean/uw_holoocean_adapter/async_diagnostic_recorder.py,verified
SYS-DEG-001,n/a (architecture),include/application/online_assist_pipeline.hpp (ComputeDegradation: visual_unavailable/sonar_unavailable),tests/application/online_assist_pipeline_test.cpp,tests/application/online_assist_pipeline_test.cpp,verified
SYS-DEG-002,n/a (architecture),include/application/online_assist_pipeline.hpp (vehicle_state_stale_after_s gate),tests/application/online_assist_pipeline_test.cpp,tests/application/online_assist_pipeline_test.cpp,verified
SYS-DEG-003,n/a (architecture),adapters/ros2/src/holoocean_realtime_node.cpp (independent PilotCamera path survives assist-pipeline failure); src/application/holoocean_realtime_sink.cpp (pump-thread exception no longer silent),n/a (native host needed to prove pure-teleop fallback end to end),adapters/ros2/README.md,gated
SYS-HMI-001,n/a (architecture),adapters/opencv/include/adapters/operator_overlay_renderer.hpp; src/application/holoocean_realtime_sink.cpp (BuildStatusJson),tests/adapters/operator_overlay_renderer_test.cpp,tests/adapters/operator_overlay_renderer_test.cpp,verified
SYS-HMI-002,n/a (architecture),include/frontends/target_tracker.hpp (500ms staleness -> TARGET_TRACK_STATUS_STALE),tests/frontends/target_tracker_test.cpp,tests/frontends/target_tracker_test.cpp,verified
SYS-HW-001,n/a (architecture),adapters/holoocean/scenarios/blue_rov_aid_sv1213_base.json,adapters/holoocean/tests/test_scenario_manifest.py,adapters/holoocean/tests/test_scenario_manifest.py,implemented
SYS-HW-002,n/a (architecture),adapters/ros2/src/holoocean_realtime_node.cpp (independent PilotCamera subscription),n/a (native ROS2 host needed to observe the raw pilot feed surviving an algorithm-process failure),adapters/ros2/README.md,gated
SYS-IN-001,n/a (architecture),adapters/ros2/src/holoocean_realtime_node.cpp (subscribes AI-D L/R + SV1213 sonar + VehicleState concurrently),n/a (native host needed to observe concurrent live ingestion),adapters/ros2/README.md,gated
SYS-IN-002,n/a (architecture),include/adapters/holoocean_live_conversion.hpp (ConvertHoloImage/ConvertHoloSonar/ConvertHoloVehicleState header population),tests/adapters/holoocean_live_conversion_test.cpp,tests/adapters/holoocean_live_conversion_test.cpp,verified
SYS-IN-003,n/a (architecture),include/runtime/canonical_event_validation.hpp,tests/runtime/canonical_event_validation_test.cpp,tests/runtime/canonical_event_validation_test.cpp,verified
SYS-PER-001,n/a (architecture),"include/frontends/target_tracker.hpp, schemas/proto/uw/domain/target.proto (TargetTrack)",tests/frontends/target_tracker_test.cpp,tests/frontends/target_tracker_test.cpp,verified
SYS-PER-002,n/a (architecture),"include/application/online_assist_pipeline.hpp (DenseDepthProvider, dense.enabled gate)",tests/application/online_assist_pipeline_test.cpp,tests/application/online_assist_pipeline_test.cpp,verified
SYS-PER-003,n/a (architecture),adapters/opencv/include/adapters/operator_overlay_renderer.hpp (SOURCE label: ACOUSTIC_OPTIC/VISUAL/SONAR),tests/adapters/operator_overlay_renderer_test.cpp,tests/adapters/operator_overlay_renderer_test.cpp,verified
